supplier_name,fiscal_year,geography,segment,revenue,currency,source_tier,source_publisher,notes
MEDITECH,2024,UK,UK Health,14.96,GBP,1,Companies House filing (via FHI Market Model),Rising to £25–30m when Norfolk/Waveney implementation fees are included during 2025–2026
MEDITECH,2024,UK,UK EPR,14.96,GBP,1,Companies House filing (via FHI Market Model),Rising to £25–30m when Norfolk/Waveney implementation fees are included during 2025–2026
MEDITECH,2025,UK,UK EPR (2025 estimate),17,GBP,1,Companies House filing (via FHI Market Model),Rising to £25–30m when Norfolk/Waveney implementation fees are included during 2025–2026
Dedalus,2024,UK,UK Health,35,GBP,1,Companies House filing (via FHI Market Model),Bottom up estimate. Filed accounts unrepresentative *although show 6% decline YOY. 
Dedalus,2024,UK,UK EPR,11,GBP,1,Companies House filing (via FHI Market Model),Bottom up estimate. Filed accounts unrepresentative *although show 6% decline YOY. 
Dedalus,2025,UK,UK EPR (2025 estimate),11,GBP,1,Companies House filing (via FHI Market Model),Bottom up estimate. Filed accounts unrepresentative *although show 6% decline YOY. 
Civica,2024,UK,UK Health,21,GBP,1,Companies House filing (via FHI Market Model),Mental health and community trusts EPR (not acute)
Civica,2024,UK,UK EPR,8,GBP,1,Companies House filing (via FHI Market Model),Mental health and community trusts EPR (not acute)
Civica,2025,UK,UK EPR (2025 estimate),8,GBP,1,Companies House filing (via FHI Market Model),Mental health and community trusts EPR (not acute)
Alcidion,2025,UK,UK Health,8,GBP,1,Companies House filing (via FHI Market Model),"Australian HQ, UK revenue growing rapdily"
Alcidion,2025,UK,UK EPR,2.46,GBP,1,Companies House filing (via FHI Market Model),"Australian HQ, UK revenue growing rapdily"
Alcidion,2025,UK,UK EPR (2025 estimate),2.46,GBP,1,Companies House filing (via FHI Market Model),"Australian HQ, UK revenue growing rapdily"
IMS Maxims,LFY,UK,UK Health,6,GBP,6,Bottom-up estimate (FHI Market Model),Acquired by TTS 2023. Open source model. Estimates - largest contracts Ramsay and Jersey  (Private sector/non-UK) & est 40% revenue from Ireland
IMS Maxims,LFY,UK,UK EPR,1,GBP,6,Bottom-up estimate (FHI Market Model),Acquired by TTS 2023. Open source model. Estimates - largest contracts Ramsay and Jersey  (Private sector/non-UK) & est 40% revenue from Ireland
IMS Maxims,2025,UK,UK EPR (2025 estimate),1,GBP,6,Bottom-up estimate (FHI Market Model),Acquired by TTS 2023. Open source model. Estimates - largest contracts Ramsay and Jersey  (Private sector/non-UK) & est 40% revenue from Ireland
Orion Health,2025,UK,UK Health,11.76,GBP,1,Companies House filing (via FHI Market Model),"NZ HQ. Integration engine/shared care record, not EPR per se"
Orion Health,2025,UK,UK EPR,0,GBP,1,Companies House filing (via FHI Market Model),"NZ HQ. Integration engine/shared care record, not EPR per se"
Orion Health,2025,UK,UK EPR (2025 estimate),0,GBP,1,Companies House filing (via FHI Market Model),"NZ HQ. Integration engine/shared care record, not EPR per se"
Optum,2024,UK,UK Health,240,GBP,1,Companies House filing (via FHI Market Model),"Primary care (EMIS GP IT Systems -c£110m pa), Ascribe is acute but departmental system (est £25m p.a), plus Optum Health products, "
Optum,2024,UK,UK EPR,0,GBP,1,Companies House filing (via FHI Market Model),"Primary care (EMIS GP IT Systems -c£110m pa), Ascribe is acute but departmental system (est £25m p.a), plus Optum Health products, "
Optum,2025,UK,UK EPR (2025 estimate),0,GBP,1,Companies House filing (via FHI Market Model),"Primary care (EMIS GP IT Systems -c£110m pa), Ascribe is acute but departmental system (est £25m p.a), plus Optum Health products, "
